ti,abstrct,authors,doi,pdate
GPCR activation and GRK2 assembly by a biased intracellular agonist,"Phosphorylation of G-protein-coupled receptors (GPCRs) by GPCR kinases (GRKs) desensitizes G-protein signalling and promotes arrestin signalling, which is also modulated by biased ligands1–6. The molecular assembly of GRKs on GPCRs and the basis of GRK-mediated biased signalling remain largely unknown owing to the weak GPCR–GRK interactions. Here we report the complex structure of neurotensin receptor 1 (NTSR1) bound to GRK2, Gαq and the arrestin-biased ligand SBI-5537. The density map reveals the arrangement of the intact GRK2 with the receptor, with the N-terminal helix of GRK2 docking into the open cytoplasmic pocket formed by the outward movement of the receptor transmembrane helix 6, analogous to the binding of the G protein to the receptor. SBI-553 binds at the interface between GRK2 and NTSR1 to enhance GRK2 binding. The binding mode of SBI-553 is compatible with arrestin binding but clashes with the binding of Gαq protein, thus providing a mechanism for its arrestin-biased signalling capability. In sum, our structure provides a rational model for understanding the details of GPCR–GRK interactions and GRK2-mediated biased signalling. Structural studies on the complex containing G-protein-coupled receptor kinase 2 (GRK2), neurotensin receptor 1 (NTSR1), Gαq and the arrestin-biased ligand SBI-553 provide insights into these interactions and a foundation for the design of arrestin-biased ligands for G-protein-coupled receptors.",Jia Duan Heng Liu Fenghui Zhao Qingning Yuan Yujie Ji Xiaoqing Cai Xinheng He Xinzhu Li Junrui Li Kai Wu Tianyu Gao Shengnan Zhu Shi Lin Ming-Wei Wang Xi Cheng Wanchao Yin Yi Jiang Dehua Yang H. Eric Xu,10.1038s41586-023-06395-9,2023-08-02
Ultrafast deposition of faceted lithium polyhedra by outpacing SEI formation,"Electrodeposition of lithium (Li) metal is critical for high-energy batteries1. However, the simultaneous formation of a surface corrosion film termed the solid electrolyte interphase (SEI)2 complicates the deposition process, which underpins our poor understanding of Li metal electrodeposition. Here we decouple these two intertwined processes by outpacing SEI formation at ultrafast deposition current densities3 while also avoiding mass transport limitations. By using cryogenic electron microscopy4–7, we discover the intrinsic deposition morphology of metallic Li to be that of a rhombic dodecahedron, which is surprisingly independent of electrolyte chemistry or current collector substrate. In a coin cell architecture, these rhombic dodecahedra exhibit near point-contact connectivity with the current collector, which can accelerate inactive Li formation8. We propose a pulse-current protocol that overcomes this failure mode by leveraging Li rhombic dodecahedra as nucleation seeds, enabling the subsequent growth of dense Li that improves battery performance compared with a baseline. While Li deposition and SEI formation have always been tightly linked in past studies, our experimental approach enables new opportunities to fundamentally understand these processes decoupled from each other and bring about new insights to engineer better batteries. We report the discovery of lithium metal’s intrinsic growth morphology, a rhombic dodecahedron, and leverage these rhombic dodecahedra as nucleation seeds for improved battery performance.",Xintong Yuan Bo Liu Matthew Mecklenburg Yuzhang Li,10.1038s41586-023-06235-w,2023-08-02
Netrin-1 blockade inhibits tumour growth and EMT features in endometrial cancer,"Netrin-1 is upregulated in cancers as a protumoural mechanism1. Here we describe netrin-1 upregulation in a majority of human endometrial carcinomas (ECs) and demonstrate that netrin-1 blockade, using an anti-netrin-1 antibody (NP137), is effective in reduction of tumour progression in an EC mouse model. We next examined the efficacy of NP137, as a first-in-class single agent, in a Phase I trial comprising 14 patients with advanced EC. As best response we observed 8 stable disease (8 out of 14, 57.1%) and 1 objective response as RECIST v.1.1 (partial response, 1 out of 14 (7.1%), 51.16% reduction in target lesions at 6 weeks and up to 54.65% reduction during the following 6 months). To evaluate the NP137 mechanism of action, mouse tumour gene profiling was performed, and we observed, in addition to cell death induction, that NP137 inhibited epithelial-to-mesenchymal transition (EMT). By performing bulk RNA sequencing (RNA-seq), spatial transcriptomics and single-cell RNA-seq on paired pre- and on-treatment biopsies from patients with EC from the NP137 trial, we noted a net reduction in tumour EMT. This was associated with changes in immune infiltrate and increased interactions between cancer cells and the tumour microenvironment. Given the importance of EMT in resistance to current standards of care2, we show in the EC mouse model that a combination of NP137 with carboplatin-paclitaxel outperformed carboplatin-paclitaxel alone. Our results identify netrin-1 blockade as a clinical strategy triggering both tumour debulking and EMT inhibition, thus potentially alleviating resistance to standard treatments. We describe netrin-1 upregulation in a majority of human endometrial carcinomas and demonstrate that netrin-1 blockade, using the anti-netrin-1 antibody NP137, is effective both in a mouse model and in patients with endometrial carcinomas.",Philippe A. Cassier Raul Navaridas Melanie Bellina Nicolas Rama Benjamin Ducarouge Hector Hernandez-Vargas Jean-Pierre Delord Justine Lengrand Andrea Paradisi Laurent Fattet Gwenaële Garin Hanane Gheit Cecile Dalban Ievgenia Pastushenko David Neves Remy Jelin Nicolas Gadot Nicolas Braissand Sophie Léon Cyril Degletagne Xavier Matias-Guiu Mojgan Devouassoux-Shisheboran Eliane Mery-Lamarche Justine Allard Egor Zindy Christine Decaestecker Isabelle Salmon David Perol Xavi Dolcet Isabelle Ray-Coquard Cédric Blanpain Agnès Bernet Patrick Mehlen,10.1038s41586-023-06367-z,2023-08-02
TDP-43 forms amyloid filaments with a distinct fold in type A FTLD-TDP,"The abnormal assembly of TAR DNA-binding protein 43 (TDP-43) in neuronal and glial cells characterizes nearly all cases of amyotrophic lateral sclerosis (ALS) and around half of cases of frontotemporal lobar degeneration (FTLD)1,2. A causal role for TDP-43 assembly in neurodegeneration is evidenced by dominantly inherited missense mutations in TARDBP, the gene encoding TDP-43, that promote assembly and give rise to ALS and FTLD3–7. At least four types (A–D) of FTLD with TDP-43 pathology (FTLD-TDP) are defined by distinct brain distributions of assembled TDP-43 and are associated with different clinical presentations of frontotemporal dementia8. We previously showed, using cryo-electron microscopy, that TDP-43 assembles into amyloid filaments in ALS and type B FTLD-TDP9. However, the structures of assembled TDP-43 in FTLD without ALS remained unknown. Here we report the cryo-electron microscopy structures of assembled TDP-43 from the brains of three individuals with the most common type of FTLD-TDP, type A. TDP-43 formed amyloid filaments with a new fold that was the same across individuals, indicating that this fold may characterize type A FTLD-TDP. The fold resembles a chevron badge and is unlike the double-spiral-shaped fold of ALS and type B FTLD-TDP, establishing that distinct filament folds of TDP-43 characterize different neurodegenerative conditions. The structures, in combination with mass spectrometry, led to the identification of two new post-translational modifications of assembled TDP-43, citrullination and monomethylation of R293, and indicate that they may facilitate filament formation and observed structural variation in individual filaments. The structures of TDP-43 filaments from type A FTLD-TDP will guide mechanistic studies of TDP-43 assembly, as well as the development of diagnostic and therapeutic compounds for TDP-43 proteinopathies. Cryo-electron microscopy structures and mass spectrometry analyses show that TAR DNA-binding protein 43 (TDP-43) forms amyloid filaments with a distinct fold in type A frontotemporal lobar degeneration with TDP-43 pathology (FTLD-TDP) compared with TDP-43 filaments in type B FTLD-TDP and amyotrophic lateral sclerosis.",Diana Arseni Renren Chen Alexey G. Murzin Sew Y. Peak-Chew Holly J. Garringer Kathy L. Newell Fuyuki Kametani Andrew C. Robinson Ruben Vidal Bernardino Ghetti Masato Hasegawa Benjamin Ryskeldi-Falcon,10.1038s41586-023-06405-w,2023-08-02
Pharmacological targeting of netrin-1 inhibits EMT in cancer,"Epithelial-to-mesenchymal transition (EMT) regulates tumour initiation, progression, metastasis and resistance to anti-cancer therapy1–7. Although great progress has been made in understanding the role of EMT and its regulatory mechanisms in cancer, no therapeutic strategy to pharmacologically target EMT has been identified. Here we found that netrin-1 is upregulated in a primary mouse model of skin squamous cell carcinoma (SCC) exhibiting spontaneous EMT. Pharmacological inhibition of netrin-1 by administration of NP137, a netrin-1-blocking monoclonal antibody currently used in clinical trials in human cancer (ClinicalTrials.gov identifier 
                NCT02977195
                
              ), decreased the proportion of EMT tumour cells in skin SCC, decreased the number of metastases and increased the sensitivity of tumour cells to chemotherapy. Single-cell RNA sequencing revealed the presence of different EMT states, including epithelial, early and late hybrid EMT, and full EMT states, in control SCC. By contrast, administration of NP137 prevented the progression of cancer cells towards a late EMT state and sustained tumour epithelial states. Short hairpin RNA knockdown of netrin-1 and its receptor UNC5B in EPCAM+ tumour cells inhibited EMT in vitro in the absence of stromal cells and regulated a common gene signature that promotes tumour epithelial state and restricts EMT. To assess the relevance of these findings to human cancers, we treated mice transplanted with the A549 human cancer cell line—which undergoes EMT following TGFβ1 administration8,9—with NP137. Netrin-1 inhibition decreased EMT in these transplanted A549 cells. Together, our results identify a pharmacological strategy for targeting EMT in cancer, opening up novel therapeutic interventions for anti-cancer therapy. Netrin-1 is upregulated in cancer models that undergo spontaneous epithelial-to-mesenchymal transition, and its targeting blocks the progression of tumour cells to a late mesenchymal state, suggesting possible therapeutic applications.",Justine Lengrand Ievgenia Pastushenko Sebastiaan Vanuytven Yura Song David Venet Rahul M. Sarate Melanie Bellina Virginie Moers Alice Boinet Alejandro Sifrim Nicolas Rama Benjamin Ducarouge Jens Van Herck Christine Dubois Samuel Scozzaro Sophie Lemaire Sarah Gieskes Sophie Bonni Amandine Collin Nicolas Braissand Justine Allard Egor Zindy Christine Decaestecker Christos Sotiriou Isabelle Salmon Patrick Mehlen Thierry Voet Agnès Bernet Cédric Blanpain,10.1038s41586-023-06372-2,2023-08-02
Frustration- and doping-induced magnetism in a Fermi–Hubbard simulator,"Geometrical frustration in strongly correlated systems can give rise to a plethora of novel ordered states and intriguing magnetic phases, such as quantum spin liquids1–3. Promising candidate materials for such phases4–6 can be described by the Hubbard model on an anisotropic triangular lattice, a paradigmatic model capturing the interplay between strong correlations and magnetic frustration7–11. However, the fate of frustrated magnetism in the presence of itinerant dopants remains unclear, as well as its connection to the doped phases of the square Hubbard model12. Here we investigate the local spin order of a Hubbard model with controllable frustration and doping, using ultracold fermions in anisotropic optical lattices continuously tunable from a square to a triangular geometry. At half-filling and strong interactions U/t ≈ 9, we observe at the single-site level how frustration reduces the range of magnetic correlations and drives a transition from a collinear Néel antiferromagnet to a short-range correlated 120° spiral phase. Away from half-filling, the triangular limit shows enhanced antiferromagnetic correlations on the hole-doped side and a reversal to ferromagnetic correlations at particle dopings above 20%, hinting at the role of kinetic magnetism in frustrated systems. This work paves the way towards exploring possible chiral ordered or superconducting phases in triangular lattices8,13 and realizing t–t′ square lattice Hubbard models that may be essential to describe superconductivity in cuprate materials14. The magnetic phases of the geometrically frustrated triangular lattice Hubbard model are directly investigated using ultracold fermionic atoms, indicating a possible transition to ferromagnetism at a filling of 1.2.",Muqing Xu Lev Haldar Kendrick Anant Kale Youqi Gang Geoffrey Ji Richard T. Scalettar Martin Lebrat Markus Greiner,10.1038s41586-023-06280-5,2023-08-02
Einkorn genomics sheds light on history of the oldest domesticated wheat,"Einkorn (Triticum monococcum) was the first domesticated wheat species, and was central to the birth of agriculture and the Neolithic Revolution in the Fertile Crescent around 10,000 years ago1,2. Here we generate and analyse 5.2-Gb genome assemblies for wild and domesticated einkorn, including completely assembled centromeres. Einkorn centromeres are highly dynamic, showing evidence of ancient and recent centromere shifts caused by structural rearrangements. Whole-genome sequencing analysis of a diversity panel uncovered the population structure and evolutionary history of einkorn, revealing complex patterns of hybridizations and introgressions after the dispersal of domesticated einkorn from the Fertile Crescent. We also show that around 1% of the modern bread wheat (Triticum aestivum) A subgenome originates from einkorn. These resources and findings highlight the history of einkorn evolution and provide a basis to accelerate the genomics-assisted improvement of einkorn and bread wheat. Around 1% of the A subgenome of modern bread wheat (Triticum aestivum) originates from einkorn (Triticum monococcum), the first domesticated wheat species.",Hanin Ibrahim Ahmed Matthias Heuberger Adam Schoen Dal-Hoe Koo Jesus Quiroz-Chavez Laxman Adhikari John Raupp Stéphane Cauet Nathalie Rodde Charlotte Cravero Caroline Callot Gerard R. Lazo Nagarajan Kathiresan Parva K. Sharma Ian Moot Inderjit Singh Yadav Lovepreet Singh Gautam Saripalli Nidhi Rawat Raju Datla Naveenkumar Athiyannan Ricardo H. Ramirez-Gonzalez Cristobal Uauy Thomas Wicker Vijay K. Tiwari Michael Abrouk Jesse Poland Simon G. Krattinger,10.1038s41586-023-06389-7,2023-08-02
Long-term organic carbon preservation enhanced by iron and manganese,"The balance between degradation and preservation of sedimentary organic carbon (OC) is important for global carbon and oxygen cycles1. The relative importance of different mechanisms and environmental conditions contributing to marine sedimentary OC preservation, however, remains unclear2–8. Simple organic molecules can be geopolymerized into recalcitrant forms by means of the Maillard reaction5, although reaction kinetics at marine sedimentary temperatures are thought to be slow9,10. More recent work in terrestrial systems suggests that the reaction can be catalysed by manganese minerals11–13, but the potential for the promotion of geopolymerized OC formation at marine sedimentary temperatures is uncertain. Here we present incubation experiments and find that iron and manganese ions and minerals abiotically catalyse the Maillard reaction by up to two orders of magnitude at temperatures relevant to continental margins where most preservation occurs4. Furthermore, the chemical signature of the reaction products closely resembles dissolved and total OC found in continental margin sediments globally. With the aid of a pore-water model14, we estimate that iron- and manganese-catalysed transformation of simple organic molecules into complex macromolecules might generate on the order of approximately 4.1 Tg C yr−1 for preservation in marine sediments. In the context of perhaps only about 63 Tg C yr−1 variation in sedimentary organic preservation over the past 300 million years6, we propose that variable iron and manganese inputs to the ocean could exert a substantial but hitherto unexplored impact on global OC preservation over geological time. Catalysis of simple organic carbon molecules into complex macromolecules by Fe and Mn may play a fundamental role in organic carbon preservation, to a degree that could substantially affect the Earth’s carbon and oxygen cycles.",Oliver W. Moore Lisa Curti Clare Woulds James A. Bradley Peyman Babakhani Benjamin J. W. Mills William B. Homoky Ke-Qing Xiao Andrew W. Bray Ben J. Fisher Majid Kazemian Burkhard Kaulich Andrew W. Dale Caroline L. Peacock,10.1038s41586-023-06325-9,2023-08-02
Consent document translation expense hinders inclusive clinical trial enrolment,"Patients from historically under-represented racial and ethnic groups are enrolled in cancer clinical trials at disproportionately low rates in the USA1–3. As these patients often have limited English proficiency4–7, we hypothesized that one barrier to their inclusion is the cost to investigators of translating consent documents. To test this hypothesis, we evaluated more than 12,000 consent events at a large cancer centre and assessed whether patients requiring translated consent documents would sign consent documents less frequently in studies lacking industry sponsorship (for which the principal investigator pays the translation costs) than for industry-sponsored studies (for which the translation costs are covered by the sponsor). Here we show that the proportion of consent events for patients with limited English proficiency in studies not sponsored by industry was approximately half of that seen in industry-sponsored studies. We also show that among those signing consent documents, the proportion of consent documents translated into the patient’s primary language in studies without industry sponsorship was approximately half of that seen in industry-sponsored studies. The results suggest that the cost of consent document translation in trials not sponsored by industry could be a potentially modifiable barrier to the inclusion of patients with limited English proficiency. The availability of translated consent documents improves recruitment of patients with limited English proficiency to clinical trials, indicating a potentially modifiable barrier to the inclusion of patients with limited English proficiency.",Maria A. Velez Beth A. Glenn Maria Garcia-Jimenez Amy L. Cummings Aaron Lisberg Andrea Nañez Yazeed Radwan Jackson P. Lind-Lebuffe Paige M. Brodrick Debory Y. Li Maria J. Fernandez-Turizo Arjan Gower Maggie Lindenbaum Manavi Hegde Jenny Brook Tristan Grogan David Elashoff Michael A. Teitell Edward B. Garon,10.1038s41586-023-06382-0,2023-08-02
Africa-specific human genetic variation near CHD1L associates with HIV-1 load,"HIV-1 remains a global health crisis1, highlighting the need to identify new targets for therapies. Here, given the disproportionate HIV-1 burden and marked human genome diversity in Africa2, we assessed the genetic determinants of control of set-point viral load in 3,879 people of African ancestries living with HIV-1 participating in the international collaboration for the genomics of HIV3. We identify a previously undescribed association signal on chromosome 1 where the peak variant associates with an approximately 0.3 log10-transformed copies per ml lower set-point viral load per minor allele copy and is specific to populations of African descent. The top associated variant is intergenic and lies between a long intergenic non-coding RNA (LINC00624) and the coding gene CHD1L, which encodes a helicase that is involved in DNA repair4. Infection assays in iPS cell-derived macrophages and other immortalized cell lines showed increased HIV-1 replication in CHD1L-knockdown and CHD1L-knockout cells. We provide evidence from population genetic studies that Africa-specific genetic variation near CHD1L associates with HIV replication in vivo. Although experimental studies suggest that CHD1L is able to limit HIV infection in some cell types in vitro, further investigation is required to understand the mechanisms underlying our observations, including any potential indirect effects of CHD1L on HIV spread in vivo that our cell-based assays cannot recapitulate. Africa-specific genetic variation on chromosome 1 near CHD1L is associated with HIV replication in vivo.",Paul J. McLaren Immacolata Porreca Gennaro Iaconis Hoi Ping Mok Subhankar Mukhopadhyay Emre Karakoc Sara Cristinelli Cristina Pomilla István Bartha Christian W. Thorball Riley H. Tough Paolo Angelino Cher S. Kiar Tommy Carstensen Segun Fatumo Tarryn Porter Isobel Jarvis William C. Skarnes Andrew Bassett Marianne K. DeGorter Mohana Prasad Sathya Moorthy Jeffrey F. Tuff Eun-Young Kim Miriam Walter Lacy M. Simons Arman Bashirova Susan Buchbinder Mary Carrington Andrea Cossarizza Andrea De Luca James J. Goedert David B. Goldstein David W. Haas Joshua T. Herbeck Eric O. Johnson Pontiano Kaleebu William Kilembe Gregory D. Kirk Neeltje A. Kootstra Alex H. Kral Olivier Lambotte Ma Luo Simon Mallal Javier Martinez-Picado Laurence Meyer José M. Miro Pravi Moodley Ayesha A. Motala James I. Mullins Kireem Nam Niels Obel Fraser Pirie Francis A. Plummer Guido Poli Matthew A. Price Andri Rauch Ioannis Theodorou Alexandra Trkola Bruce D. Walker Cheryl A. Winkler Jean-François Zagury Stephen B. Montgomery Angela Ciuffi Judd F. Hultquist Steven M. Wolinsky Gordon Dougan Andrew M. L. Lever Deepti Gurdasani Harriet Groom Manjinder S. Sandhu Jacques Fellay,10.1038s41586-023-06370-4,2023-08-02
Quantum oscillations of the quasiparticle lifetime in a metal,"Following nearly a century of research, it remains a puzzle that the low-lying excitations of metals are remarkably well explained by effective single-particle theories of non-interacting bands1–4. The abundance of interactions in real materials raises the question of direct spectroscopic signatures of phenomena beyond effective single-particle, single-band behaviour. Here we report the identification of quantum oscillations (QOs) in the three-dimensional topological semimetal CoSi, which defy the standard description in two fundamental aspects. First, the oscillation frequency corresponds to the difference of semiclassical quasiparticle (QP) orbits of two bands, which are forbidden as half of the trajectory would oppose the Lorentz force. Second, the oscillations exist up to above 50 K, in strong contrast to all other oscillatory components, which vanish below a few kelvin. Our findings are in excellent agreement with generic model calculations of QOs of the QP lifetime (QPL). Because the only precondition for their existence is a nonlinear coupling of at least two electronic orbits, for example, owing to QP scattering on defects or collective excitations, such QOs of the QPL are generic for any metal featuring Landau quantization with several orbits. They are consistent with certain frequencies in topological semimetals5–9, unconventional superconductors10,11, rare-earth compounds12–14 and Rashba systems15, and permit to identify and gauge correlation phenomena, for example, in two-dimensional materials16,17 and multiband metals18. Quantum oscillations in the three-dimensional topological semimetal CoSi are reported, where selected oscillation frequencies have no corresponding extremal Fermi surface cross-sections, representing instead oscillations of the quasiparticle lifetime.",Nico Huber Valentin Leeb Andreas Bauer Georg Benka Johannes Knolle Christian Pfleiderer Marc A. Wilde,10.1038s41586-023-06330-y,2023-08-02
cGAS–STING drives ageing-related inflammation and neurodegeneration,"Low-grade inflammation is a hallmark of old age and a central driver of ageing-associated impairment and disease1. Multiple factors can contribute to ageing-associated inflammation2; however, the molecular pathways that transduce aberrant inflammatory signalling and their impact in natural ageing remain unclear. Here we show that the cGAS–STING signalling pathway, which mediates immune sensing of DNA3, is a critical driver of chronic inflammation and functional decline during ageing. Blockade of STING suppresses the inflammatory phenotypes of senescent human cells and tissues, attenuates ageing-related inflammation in multiple peripheral organs and the brain in mice, and leads to an improvement in tissue function. Focusing on the ageing brain, we reveal that activation of STING triggers reactive microglial transcriptional states, neurodegeneration and cognitive decline. Cytosolic DNA released from perturbed mitochondria elicits cGAS activity in old microglia, defining a mechanism by which cGAS–STING signalling is engaged in the ageing brain. Single-nucleus RNA-sequencing analysis of microglia and hippocampi of a cGAS gain-of-function mouse model demonstrates that engagement of cGAS in microglia is sufficient to direct ageing-associated transcriptional microglial states leading to bystander cell inflammation, neurotoxicity and impaired memory capacity. Our findings establish the cGAS–STING pathway as a driver of ageing-related inflammation in peripheral organs and the brain, and reveal blockade of cGAS–STING signalling as a potential strategy to halt neurodegenerative processes during old age. The cGAS–STING signalling pathway is a critical driver of chronic inflammation and functional decline during ageing, and could be targeted to halt neurodegenerative processes during old age.",Muhammet F. Gulen Natasha Samson Alexander Keller Marius Schwabenland Chong Liu Selene Glück Vivek V. Thacker Lucie Favre Bastien Mangeat Lona J. Kroese Paul Krimpenfort Marco Prinz Andrea Ablasser,10.1038s41586-023-06373-1,2023-08-02
The break of earthquake asperities imaged by distributed acoustic sensing,"Rupture imaging of megathrust earthquakes with global seismic arrays revealed frequency-dependent rupture signatures1–4, but the role of high-frequency radiators remains unclear3–5. Similar observations of the more abundant crustal earthquakes could provide critical constraints but are rare without ultradense local arrays6,7. Here we use distributed acoustic sensing technology8,9 to image the high-frequency earthquake rupture radiators. By converting a 100-kilometre dark-fibre cable into a 10,000-channel seismic array, we image four high-frequency subevents for the 2021 Antelope Valley, California, moment-magnitude 6.0 earthquake. After comparing our results with long-period moment-release10,11 and dynamic rupture simulations, we suggest that the imaged subevents are due to the breaking of fault asperities—stronger spots or pins on the fault—that substantially modulate the overall rupture behaviour. An otherwise fading rupture propagation could be promoted by the breaking of fault asperities in a cascading sequence. This study highlights how we can use the extensive pre-existing fibre networks12 as high-frequency seismic antennas to systematically investigate the rupture process of regional moderate-sized earthquakes. Coupled with dynamic rupture modelling, it could improve our understanding of earthquake rupture dynamics. Distributed acoustic sensing technology is utilized to image four high-frequency rupture subevents of the 2021 Antelope Valley, California, earthquake; the results indicate that the subevents are due to the breaking of fault asperities.",Jiaxuan Li Taeho Kim Nadia Lapusta Ettore Biondi Zhongwen Zhan,10.1038s41586-023-06227-w,2023-08-02
Authigenic mineral phases as a driver of the upper-ocean iron cycle,"Iron is important in regulating the ocean carbon cycle1. Although several dissolved and particulate species participate in oceanic iron cycling, current understanding emphasizes the importance of complexation by organic ligands in stabilizing oceanic dissolved iron concentrations2–6. However, it is difficult to reconcile this view of ligands as a primary control on dissolved iron cycling with the observed size partitioning of dissolved iron species, inefficient dissolved iron regeneration at depth or the potential importance of authigenic iron phases in particulate iron observational datasets7–12. Here we present a new dissolved iron, ligand and particulate iron seasonal dataset from the Bermuda Atlantic Time-series Study (BATS) region. We find that upper-ocean dissolved iron dynamics were decoupled from those of ligands, which necessitates a process by which dissolved iron escapes ligand stabilization to generate a reservoir of authigenic iron particles that settle to depth. When this ‘colloidal shunt’ mechanism was implemented in a global-scale biogeochemical model, it reproduced both seasonal iron-cycle dynamics observations and independent global datasets when previous models failed13–15. Overall, we argue that the turnover of authigenic particulate iron phases must be considered alongside biological activity and ligands in controlling ocean-dissolved iron distributions and the coupling between dissolved and particulate iron pools. Analysis of a new dissolved iron, ligand and particulate iron seasonal dataset shows that authigenic iron phases help control ocean dissolved iron distributions and the coupling between dissolved and particulate iron pools.",Alessandro Tagliabue Kristen N. Buck Laura E. Sofen Benjamin S. Twining Olivier Aumont Philip W. Boyd Salvatore Caprara William B. Homoky Rod Johnson Daniela König Daniel C. Ohnemus Bettina Sohst Peter Sedwick,10.1038s41586-023-06210-5,2023-08-02
Synergy and oxygen adaptation for development of next-generation probiotics,"The human gut microbiota has gained interest as an environmental factor that may contribute to health or disease1. The development of next-generation probiotics is a promising strategy to modulate the gut microbiota and improve human health; however, several key candidate next-generation probiotics are strictly anaerobic2 and may require synergy with other bacteria for optimal growth. Faecalibacterium prausnitzii is a highly prevalent and abundant human gut bacterium associated with human health, but it has not yet been developed into probiotic formulations2. Here we describe the co-isolation of F. prausnitzii and Desulfovibrio piger, a sulfate-reducing bacterium, and their cross-feeding for growth and butyrate production. To produce a next-generation probiotic formulation, we adapted F. prausnitzii to tolerate oxygen exposure, and, in proof-of-concept studies, we demonstrate that the symbiotic product is tolerated by mice and humans (ClinicalTrials.gov identifier: 
                NCT03728868
                
              ) and is detected in the human gut in a subset of study participants. Our study describes a technology for the production of next-generation probiotics based on the adaptation of strictly anaerobic bacteria to tolerate oxygen exposures without a reduction in potential beneficial properties. Our technology may be used for the development of other strictly anaerobic strains as next-generation probiotics. The anaerobic gut bacterium Faecalibacterium prausnitzii was isolated and adapted for oxygen tolerance to develop a next-generation probiotic for the treatment of conditions such as inflammatory bowel disease and type 2 diabetes.",Muhammad Tanweer Khan Chinmay Dwibedi Daniel Sundh Meenakshi Pradhan Jamie D. Kraft Robert Caesar Valentina Tremaroli Mattias Lorentzon Fredrik Bäckhed,10.1038s41586-023-06378-w,2023-08-02
Spin-mediated shear oscillators in a van der Waals antiferromagnet,"Understanding how microscopic spin configuration gives rise to exotic properties at the macroscopic length scale has long been pursued in magnetic materials1–5. One seminal example is the Einstein–de Haas effect in ferromagnets1,6,7, in which angular momentum of spins can be converted into mechanical rotation of an entire object. However, for antiferromagnets without net magnetic moment, how spin ordering couples to macroscopic movement remains elusive. Here we observed a seesaw-like rotation of reciprocal lattice peaks of an antiferromagnetic nanolayer film, whose gigahertz structural resonance exhibits more than an order-of-magnitude amplification after cooling below the Néel temperature. Using a suite of ultrafast diffraction and microscopy techniques, we directly visualize this spin-driven rotation in reciprocal space at the nanoscale. This motion corresponds to interlayer shear in real space, in which individual micro-patches of the film behave as coherent oscillators that are phase-locked and shear along the same in-plane axis. Using time-resolved optical polarimetry, we further show that the enhanced mechanical response strongly correlates with ultrafast demagnetization, which releases elastic energy stored in local strain gradients to drive the oscillators. Our work not only offers the first microscopic view of spin-mediated mechanical motion of an antiferromagnet but it also identifies a new route towards realizing high-frequency resonators8,9 up to the millimetre band, so the capability of controlling magnetic states on the ultrafast timescale10–13 can be readily transferred to engineering the mechanical properties of nanodevices. Using several ultrafast diffraction and microscopy techniques, demagnetization-driven interlayer shear of a van der Waals antiferromagnet is visualized at the nanoscale.",Alfred Zong Qi Zhang Faran Zhou Yifan Su Kyle Hwangbo Xiaozhe Shen Qianni Jiang Haihua Liu Thomas E. Gage Donald A. Walko Michael E. Kozina Duan Luo Alexander H. Reid Jie Yang Suji Park Saul H. Lapidus Jiun-Haw Chu Ilke Arslan Xijie Wang Di Xiao Xiaodong Xu Nuh Gedik Haidan Wen,10.1038s41586-023-06279-y,2023-08-02
Central role of Tim17 in mitochondrial presequence protein translocation,"The presequence translocase of the mitochondrial inner membrane (TIM23) represents the major route for the import of nuclear-encoded proteins into mitochondria1,2. About 60% of more than 1,000 different mitochondrial proteins are synthesised with amino-terminal targeting signals, termed presequences, which form positively charged amphiphilic α-helices3,4. TIM23 sorts the presequence proteins into the inner membrane or matrix. Various views including regulatory and coupling functions have been reported on the essential TIM23 subunit Tim175–7. We mapped the interaction of Tim17 with matrix-targeted and inner membrane-sorted preproteins during translocation in the native membrane environment. We show that Tim17 contains conserved negative charges close to the intermembrane space side of the bilayer, which are essential to initiate presequence protein translocation along a distinct transmembrane cavity of Tim17 for both classes of preproteins. The amphiphilic character of mitochondrial presequences directly matches this Tim17-dependent translocation mechanism. This mechanism permits direct lateral release of transmembrane segments of inner membrane-sorted precursors into the inner membrane.",Laura F. Fielden Jakob D. Busch Sandra G. Merkt Iniyan Ganesan Conny Steiert Hanna B. Hasselblatt Jon V. Busto Christophe Wirth Nicole Zufall Sibylle Jungbluth Katja Noll Julia M. Dung Ludmila Butenko Karina von der Malsburg Hans-Georg Koch Carola Hunte Martin van der Laan Nils Wiedemann,10.1038s41586-023-06477-8,2023-08-01
